Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
14,40,85,2,True,4.3,4,9/17/2022 11:31:11 AM,False,0,1,22,43.6,2442,,4.2,11,9/17/2022 12:11:53 PM,False,0,0,600FB929,22,0,13,GF,40/85,1014,1014,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.5,0,0,0.33,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.25,3246,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,11.1,0,1,0.42,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.25,3230,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,18.4,0,1,0.49,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.25,3206,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,26.8,0,1,0.58,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.25,3186,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,34.1,0,1,0.64,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.25,3164,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,42.1,0,5,0.72,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,3140,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,42.2,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,3144,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,41.7,0,5,0.72,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.26,3094,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,41.3,0,5,0.72,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,3068,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,41,0,5,0.72,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,3062,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,41.4,0,5,0.72,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,3032,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,42.1,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,3016,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,42.3,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,2992,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,42.2,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,2988,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,41.5,0,5,0.72,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,2978,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,42.3,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,2970,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,42.3,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,2946,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,42.4,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,2942,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,42.3,0,5,0.73,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.25,2924,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
