Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
30,40,85,17,True,4.2,3,11/14/2022 10:33:52 AM,False,0,1,22,34,2953,,4.2,7,11/14/2022 11:23:05 AM,False,0,0,600FB929,22,0,13,GF,40/85,1015,1015,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,2.6,0,0,0.34,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.22,2900,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,10.5,0,1,0.42,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.22,2880,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,11.2,0,1,0.43,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.22,2864,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,13.9,0,1,0.45,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.22,2852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,14.7,0,1,0.46,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.23,2842,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,14.4,0,1,0.47,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2828,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,12.9,0,1,0.45,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2820,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,12,0,1,0.44,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2816,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,10.2,0,1,0.42,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2806,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,9,0,1,0.41,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2800,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,9.2,0,1,0.41,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2792,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,9.900001,0,1,0.41,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2786,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,10.9,0,1,0.42,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2778,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,14.7,0,1,0.46,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2772,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,17.9,0,1,0.49,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2764,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,17.8,0,1,0.49,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2752,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,20.3,0,1,0.52,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2744,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,23.6,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2736,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,27.1,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2724,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,27.2,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2720,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200000,26.1,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.23,2716,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210000,24.8,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2710,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220000,24.7,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2704,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230000,24,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2698,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240000,26.6,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2694,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250000,27.2,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2684,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
260000,25.8,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2678,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
270000,25.5,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2672,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
280000,26.7,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2662,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
290000,26.5,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2650,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
300000,26.9,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2652,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
310000,27.2,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2640,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
320000,25,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2638,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
330000,24.4,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2632,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
340000,24.5,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2624,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
350000,23.7,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2608,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
360000,22.8,0,1,0.54,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2612,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
370000,24.6,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2608,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
380000,26.8,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2590,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
390000,28.7,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2584,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
400000,29.3,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2572,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
410000,29.2,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2564,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
420000,28.6,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2560,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
430000,27.3,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2554,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
440000,26.1,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2550,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
450000,27.5,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2542,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
460000,28.9,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2530,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
470000,27.7,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2522,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
480000,24.4,0,1,0.56,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2518,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
490000,22.6,0,1,0.54,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2514,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
500000,20,0,1,0.51,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.22,2504,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
510000,21.1,0,1,0.52,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2496,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
520000,23.9,0,1,0.55,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2500,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
530000,25.5,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2486,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
540000,26.4,0,1,0.58,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2476,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
550000,28,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2468,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
560000,27.7,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2472,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
570000,25.8,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2464,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
580000,25.5,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2452,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
590000,24.1,0,1,0.56,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2448,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
600000,27.2,0,1,0.58,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2434,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
610000,27.6,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2436,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
620000,25.9,0,1,0.58,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2422,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
630000,28.3,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2414,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
640000,31.2,0,1,0.62,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.22,2410,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
