Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
36,40,85,27,True,4.2,5,11/15/2022 3:27:48 PM,False,0,1,22,35,3032,,4.1,11,11/15/2022 4:18:20 PM,False,0,0,600FB929,22,0,13,GF,40/85,1013,1013,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1,0,0,0.33,0.32,0,0,0,1,0,89,False,False,0,0,0,0,0,4.17,3048,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,8.2,0,1,0.4,0.32,0,0,99,1,0,87,False,False,0,0,0,0,0,4.17,3026,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,8.400001,0,1,0.4,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.17,3014,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,11.1,0,1,0.42,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.17,3000,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,10.9,0,1,0.43,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.17,2986,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,13.1,0,1,0.44,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.16,2974,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,18.3,0,1,0.49,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.17,2964,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,21.9,0,1,0.53,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.17,2946,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,20.9,0,1,0.53,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.16,2934,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,22,0,1,0.53,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.16,2918,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,23.4,0,1,0.55,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.17,2914,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,28.7,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.17,2902,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,30.7,0,1,0.62,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2888,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,29.3,0,1,0.61,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.17,2872,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,27.2,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2864,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,27.8,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2850,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,27.2,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2848,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,28.3,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.17,2840,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,26,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2826,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,28.8,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2814,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200000,30.2,0,1,0.61,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2798,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210000,29.9,0,1,0.61,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2784,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220000,30.2,0,1,0.61,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2774,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230000,28.5,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2768,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240000,29.3,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2764,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250000,28.3,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2744,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
260000,28.7,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2736,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
270000,28.3,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2732,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
280000,28,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2724,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
290000,29.1,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2716,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
300000,27.6,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2710,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
310000,28.5,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2704,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
320000,27,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2702,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
330000,27.7,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2698,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
340000,29.6,0,1,0.61,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2682,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
350000,28.8,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2676,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
360000,27.8,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2662,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
370000,28.6,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2654,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
380000,27.2,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2644,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
390000,25.5,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2638,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
400000,26.3,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2620,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
410000,26.1,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2616,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
420000,25.3,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2610,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
430000,24.8,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2604,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
440000,24.3,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2600,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
450000,24.8,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2592,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
460000,23.9,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2586,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
470000,24.4,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2578,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
480000,23.6,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2574,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
490000,23.5,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2564,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
500000,21.5,0,1,0.53,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2560,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
510000,21.2,0,1,0.52,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2552,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
520000,22.5,0,1,0.54,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2546,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
530000,24.1,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2538,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
540000,23.1,0,1,0.54,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2522,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
550000,23.7,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2518,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
560000,24.3,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2506,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
570000,25.7,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2494,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
580000,27,0,1,0.58,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2488,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
590000,25.9,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2484,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
600000,24.8,0,1,0.56,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2478,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
610000,26.1,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2474,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
620000,27.9,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2456,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
630000,27.8,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2454,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
640000,27.4,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2448,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
650000,27.5,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2444,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
660000,28.6,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2426,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
670000,28.9,0,1,0.6,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2420,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
680000,29.6,0,1,0.61,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2412,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
690000,29.5,0,1,0.61,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.16,2410,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
