Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
39,40,85,62,True,4.2,6,11/16/2022 10:48:53 AM,False,0,1,22,102.4,1586,,4.2,15,11/16/2022 11:15:19 AM,False,0,0,600FB929,22,0,13,GF,40/85,1014,1014,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,5.6,0,1,0.38,0.32,0,0,0,1,0,84,False,False,0,0,0,0,0,4.23,2892,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,8.7,0,1,0.4,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.24,2878,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,15.3,0,1,0.47,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.23,2864,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,26.9,0,1,0.57,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.24,2844,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,39,0,5,0.69,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.24,2826,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,51.7,0,5,0.81,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.24,2800,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,60.7,0,5,0.9,0.32,0,0,68,1,0,82,False,False,0,0,0,0,0,4.23,2778,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,66.2,0,5,0.96,0.32,0,0,54,1,0,82,False,False,0,0,0,0,0,4.23,2752,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,68.4,0,6,0.98,0.32,0,0,48,1,0,82,False,False,0,0,0,0,0,4.23,2740,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,71.1,0,6,1.01,0.32,0,0,46,1,0,82,False,False,0,0,0,0,0,4.23,2732,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,74.8,0,6,1.05,0.32,0,0,40,1,0,82,False,False,0,0,0,0,0,4.23,2708,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
