Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
42,40,85,1015,True,4,0,11/17/2022 8:56:33 AM,False,0,1,22,33.8,2756,,4,4,11/17/2022 9:42:29 AM,False,0,0,600FB929,22,0,13,GF,40/85,1013,1013,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0,0.32,0,0,0,1,0,83,False,False,0,0,0,0,0,4.02,No comms for 90s +,AI is off,N/A,N/A,N/A,Not Diving,0,0,0
10000,7.5,0,1,0.4,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.04,2856,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,9,0,1,0.41,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.03,2852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,13.6,0,1,0.45,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.04,2852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,18.4,0,1,0.49,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.04,2840,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,21.6,0,1,0.53,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.03,2838,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,24.4,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.04,2836,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,23.8,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.03,2826,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,25.8,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2826,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,25.7,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2824,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,26.6,0,1,0.58,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2820,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,28.6,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2814,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,29,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2810,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,28.2,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2804,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,28.4,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2798,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,28.3,0,1,0.6,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2792,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,27.6,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2790,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,28.5,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2772,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,28.1,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2770,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,25.9,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2764,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200000,26,0,1,0.58,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2756,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210000,25.9,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2748,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220000,26.4,0,1,0.58,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2742,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230000,28.4,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2734,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240000,27.7,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2738,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250000,27.6,0,1,0.59,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2730,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
260000,27.2,0,1,0.58,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2726,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
270000,25.9,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2718,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
280000,25.7,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2710,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
290000,23.1,0,1,0.55,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2704,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
300000,25.5,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.03,2692,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
