Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
43,40,85,23,True,4,4,11/17/2022 10:05:18 AM,False,0,1,22,26.3,2762,,3.9,7,11/17/2022 10:51:20 AM,False,0,0,600FB929,22,0,13,GF,40/85,1017,1017,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,2.2,0,0,0.34,0.32,0,0,0,1,0,82,False,False,0,0,0,0,0,3.97,2908,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,6.8,0,1,0.38,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2902,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,7.7,0,1,0.4,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2894,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,11.6,0,1,0.43,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2888,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,14.8,0,1,0.46,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2876,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,16.2,0,1,0.47,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2864,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,18,0,1,0.49,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2856,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,19.2,0,1,0.5,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,18.1,0,1,0.5,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2840,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,18.5,0,1,0.5,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2836,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,18.6,0,1,0.5,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2826,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,18.3,0,1,0.5,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2822,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,20.1,0,1,0.51,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2818,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,22.4,0,1,0.54,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2806,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,24,0,1,0.55,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2790,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,24.9,0,1,0.56,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2780,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,24.6,0,1,0.56,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2770,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,25.3,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2762,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,24.9,0,1,0.57,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2760,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,23.8,0,1,0.55,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,3.97,2746,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
