Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
4,40,85,104,True,4.3,0,7/5/2021 11:43:34 AM,False,0,1,18,67,2445,,4.2,1,7/5/2021 12:24:19 PM,False,0,0,600FB929,18,0,10,GF,40/85,1008,1008,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.21,0.21,0,0,0,1,0,86,False,False,0,0,0,0,0,4.27,3274,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
10000,12,0,1,0.27,0.21,0,0,99,1,0,86,False,False,0,0,0,0,0,4.27,3264,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
20000,17.8,0,1,0.32,0.21,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3242,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
30000,25.4,0,1,0.37,0.21,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3222,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
40000,33.6,0,1,0.43,0.21,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3204,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
50000,36,0,1,0.43,0.21,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3196,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
60000,40.4,0,5,0.47,0.21,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3192,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
70000,38.8,0,5,0.46,0.21,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3172,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
80000,40,0,5,0.47,0.21,0,0,98,1,0,85,False,False,0,0,0,0,0,4.27,3160,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
90000,41.2,0,5,0.47,0.21,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3140,Not paired,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,N/A,GTR and SAC are off,0,0,0
