Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
95,40,85,52,True,4.1,11,12/31/2022 3:44:27 PM,False,0,1,22,68.5,3162,,4.1,28,12/31/2022 4:37:09 PM,False,0,0,600FB929,22,0,13,GF,40/85,1014,1014,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.36,0.36,0,0,0,1,0,84,False,False,0,0,0,0,0,4.09,3350,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,13.6,0,1,0.5,0.36,0,0,99,1,0,83,False,False,0,0,0,0,0,4.09,3334,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,22.4,0,1,0.6,0.36,0,0,99,1,0,81,False,False,0,0,0,0,0,4.09,3320,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,31.5,0,1,0.69,0.36,0,0,99,1,0,81,False,False,0,0,0,0,0,4.09,3300,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,40,0,5,0.79,0.36,0,0,99,1,0,80,False,False,0,0,0,0,0,4.1,3276,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,43.7,0,5,0.83,0.36,0,0,99,1,0,80,False,False,0,0,0,0,0,4.09,3262,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,49.9,0,5,0.9,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3242,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,52.5,0,5,0.93,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3226,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,52.8,0,5,0.94,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3214,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,54.1,0,5,0.95,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3204,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,55.3,0,5,0.96,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3186,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,57,0,5,0.98,0.36,0,0,96,1,0,79,False,False,0,0,0,0,0,4.09,3172,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,55.9,0,5,0.97,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3162,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,54.7,0,5,0.96,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3144,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,54.7,0,5,0.96,0.36,0,0,99,1,0,79,False,False,0,0,0,0,0,4.09,3134,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,56.4,0,5,0.98,0.36,0,0,94,1,0,79,False,False,0,0,0,0,0,4.09,3128,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,58.4,0,5,1,0.36,0,0,86,1,0,78,False,False,0,0,0,0,0,4.09,3104,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,59.3,0,5,1.01,0.36,0,0,82,1,0,78,False,False,0,0,0,0,0,4.09,3094,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,60.1,0,5,1.02,0.36,0,0,76,1,0,78,False,False,0,0,0,0,0,4.09,3082,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,59.4,0,5,1.01,0.36,0,0,79,1,0,78,False,False,0,0,0,0,0,4.09,3070,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200000,60.1,0,5,1.02,0.36,0,0,79,1,0,78,False,False,0,0,0,0,0,4.09,3060,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210000,59.1,0,5,1.01,0.36,0,0,81,1,0,78,False,False,0,0,0,0,0,4.09,3050,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220000,60.5,0,5,1.02,0.36,0,0,78,1,0,78,False,False,0,0,0,0,0,4.09,3032,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230000,61.9,0,5,1.04,0.36,0,0,71,1,0,78,False,False,0,0,0,0,0,4.09,3026,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240000,61.7,0,5,1.03,0.36,0,0,72,1,0,78,False,False,0,0,0,0,0,4.09,3018,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250000,61,0,5,1.03,0.36,0,0,72,1,0,78,False,False,0,0,0,0,0,4.09,3012,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
260000,59.9,0,5,1.02,0.36,0,0,75,1,0,78,False,False,0,0,0,0,0,4.09,2992,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
270000,58.4,0,5,1,0.36,0,0,84,1,0,78,False,False,0,0,0,0,0,4.09,2984,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
280000,57,0,5,0.98,0.36,0,0,93,1,0,78,False,False,0,0,0,0,0,4.09,2978,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
290000,57.7,0,5,0.9899999,0.36,0,0,90,1,0,78,False,False,0,0,0,0,0,4.09,2970,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
300000,58.5,0,5,1,0.36,0,0,86,1,0,78,False,False,0,0,0,0,0,4.09,2960,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
310000,57.2,0,5,0.9899999,0.36,0,0,90,1,0,78,False,False,0,0,0,0,0,4.09,2952,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
320000,57.5,0,5,0.9899999,0.36,0,0,87,1,0,78,False,False,0,0,0,0,0,4.09,2946,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
330000,58.2,0,5,0.9899999,0.36,0,0,87,1,0,78,False,False,0,0,0,0,0,4.09,2938,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
340000,57.8,0,5,0.9899999,0.36,0,0,86,1,0,78,False,False,0,0,0,0,0,4.09,2916,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
350000,58.2,0,5,1,0.36,0,0,85,1,0,78,False,False,0,0,0,0,0,4.09,2922,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
360000,58.4,0,5,1,0.36,0,0,82,1,0,78,False,False,0,0,0,0,0,4.09,2892,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
370000,59.1,0,5,1.01,0.36,0,0,81,1,0,78,False,False,0,0,0,0,0,4.09,2886,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
380000,57.8,0,5,0.9899999,0.36,0,0,87,1,0,78,False,False,0,0,0,0,0,4.09,2892,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
390000,58.8,0,5,1,0.36,0,0,84,1,0,78,False,False,0,0,0,0,0,4.09,2884,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
400000,57.7,0,5,0.9899999,0.36,0,0,86,1,0,78,False,False,0,0,0,0,0,4.09,2860,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
410000,57.7,0,5,0.9899999,0.36,0,0,87,1,0,78,False,False,0,0,0,0,0,4.09,2852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
420000,57.6,0,5,0.9899999,0.36,0,0,85,1,0,78,False,False,0,0,0,0,0,4.09,2844,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
430000,57.3,0,5,0.98,0.36,0,0,89,1,0,78,False,False,0,0,0,0,0,4.09,2836,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
440000,56.1,0,5,0.98,0.36,0,0,92,1,0,78,False,False,0,0,0,0,0,4.09,2830,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
450000,56.1,0,5,0.97,0.36,0,0,93,1,0,78,False,False,0,0,0,0,0,4.09,2820,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
460000,57,0,5,0.98,0.36,0,0,88,1,0,78,False,False,0,0,0,0,0,4.09,2812,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
470000,56.4,0,5,0.97,0.36,0,0,93,1,0,78,False,False,0,0,0,0,0,4.09,2802,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
480000,56.2,0,5,0.98,0.36,0,0,91,1,0,78,False,False,0,0,0,0,0,4.09,2794,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
490000,56.9,0,5,0.98,0.36,0,0,89,1,0,78,False,False,0,0,0,0,0,4.09,2786,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
500000,56.6,0,5,0.98,0.36,0,0,90,1,0,78,False,False,0,0,0,0,0,4.09,2778,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
510000,56.7,0,5,0.98,0.36,0,0,89,1,0,78,False,False,0,0,0,0,0,4.09,2760,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
520000,56.9,0,5,0.98,0.36,0,0,88,1,0,78,False,False,0,0,0,0,0,4.09,2756,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
530000,56.8,0,5,0.98,0.36,0,0,88,1,0,78,False,False,0,0,0,0,0,4.09,2752,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
540000,52.9,0,5,0.94,0.36,0,0,99,1,0,78,False,False,0,0,0,0,0,4.09,2744,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
550000,53.6,0,5,0.94,0.36,0,0,99,1,0,78,False,False,0,0,0,0,0,4.09,2736,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
560000,54,0,5,0.95,0.36,0,0,99,1,0,78,False,False,0,0,0,0,0,4.09,2724,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
570000,54.2,0,5,0.95,0.36,0,0,99,1,0,78,False,False,0,0,0,0,0,4.09,2720,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
580000,55.2,0,5,0.96,0.36,0,0,99,1,0,78,False,False,0,0,0,0,0,4.09,2698,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
590000,59.8,0,5,1.01,0.36,0,0,73,1,0,78,False,False,0,0,0,0,0,4.09,2690,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
600000,61.5,0,5,1.03,0.36,0,0,67,1,0,78,False,False,0,0,0,0,0,4.09,2680,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
610000,61.9,0,5,1.04,0.36,0,0,65,1,0,78,False,False,0,0,0,0,0,4.08,2674,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
620000,64.1,0,5,1.07,0.36,0,0,57,1,0,78,False,False,0,0,0,0,0,4.09,2656,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
630000,62.7,0,5,1.04,0.36,0,0,62,1,0,78,False,False,0,0,0,0,0,4.08,2638,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
640000,64.4,0,5,1.06,0.36,0,0,57,1,0,78,False,False,0,0,0,0,0,4.09,2634,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
650000,65.9,0,5,1.08,0.36,0,0,53,1,0,78,False,False,0,0,0,0,0,4.08,2622,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
660000,66.3,0,5,1.08,0.36,0,0,53,1,0,78,False,False,0,0,0,0,0,4.09,2612,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
670000,64.3,0,5,1.07,0.36,0,0,56,1,0,78,False,False,0,0,0,0,0,4.08,2594,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
680000,62.7,0,5,1.05,0.36,0,0,61,1,0,78,False,False,0,0,0,0,0,4.08,2584,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
690000,63.7,0,5,1.06,0.36,0,0,58,1,0,78,False,False,0,0,0,0,0,4.09,2574,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
700000,64.9,0,5,1.07,0.36,0,0,55,1,0,78,False,False,0,0,0,0,0,4.08,2554,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
710000,65.1,0,5,1.07,0.36,0,0,54,1,0,78,False,False,0,0,0,0,0,4.08,2538,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
720000,63.6,0,5,1.05,0.36,0,0,58,1,0,78,False,False,0,0,0,0,0,4.08,2532,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
730000,63.5,0,5,1.06,0.36,0,0,58,1,0,78,False,False,0,0,0,0,0,4.08,2514,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
740000,61.3,0,5,1.03,0.36,0,0,64,1,0,78,False,False,0,0,0,0,0,4.09,2500,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
750000,60.6,0,5,1.01,0.36,0,0,68,1,0,78,False,False,0,0,0,0,0,4.08,2490,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
760000,62.8,0,5,1.05,0.36,0,0,59,1,0,78,False,False,0,0,0,0,0,4.08,2486,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
770000,62.4,0,5,1.04,0.36,0,0,60,1,0,78,False,False,0,0,0,0,0,4.08,2470,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
780000,62.6,0,5,1.04,0.36,0,0,60,1,0,78,False,False,0,0,0,0,0,4.08,2464,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
790000,62,0,5,1.04,0.36,0,0,61,1,0,78,False,False,0,0,0,0,0,4.08,2448,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
800000,62.1,0,5,1.04,0.36,0,0,61,1,0,78,False,False,0,0,0,0,0,4.08,2440,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
810000,62.2,0,5,1.04,0.36,0,0,60,1,0,78,False,False,0,0,0,0,0,4.08,2428,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
820000,61.9,0,5,1.04,0.36,0,0,61,1,0,78,False,False,0,0,0,0,0,4.09,2420,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
830000,62,0,5,1.04,0.36,0,0,61,1,0,78,False,False,0,0,0,0,0,4.08,2416,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
840000,62.7,0,5,1.05,0.36,0,0,58,1,0,78,False,False,0,0,0,0,0,4.08,2402,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
850000,62.6,0,5,1.04,0.36,0,0,59,1,0,78,False,False,0,0,0,0,0,4.08,2394,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
